Index,Timestamp_US,RSSI,Throttle,VectorX,VectorY
95,90153143,-52,200,0.0186617374420166,0.014969110488891602
96,90153263,-50,200,0.0186617374420166,0.014969110488891602
97,90153374,-49,200,0.0186617374420166,0.014969110488891602
98,90153485,-49,200,0.0186617374420166,0.014969110488891602
99,90153578,-48,200,0.0186617374420166,0.014969110488891602
100,90153680,-47,200,0.0186617374420166,0.014969110488891602
101,90153782,-47,200,0.0186617374420166,0.014969110488891602
102,90153902,-46,200,0.0186617374420166,0.014969110488891602
103,90154004,-45,200,0.0186617374420166,0.014969110488891602
104,90154142,-45,200,0.0186617374420166,0.014969110488891602
105,90154226,-45,200,0.0186617374420166,0.014969110488891602
106,90154319,-45,200,0.0186617374420166,0.014969110488891602
107,90154466,-44,200,0.0186617374420166,0.014969110488891602
108,90154568,-44,200,0.0186617374420166,0.014969110488891602
