Index,Timestamp_US,RSSI,Smoothed_RSSI
494,66142359,-48,-48
495,66142459,-48,-48
496,66142559,-48,-48
497,66142659,-48,-48
498,66142759,-48,-48
499,66142859,-48,-48
500,66142959,-48,-48
501,66143059,-48,-48
502,66143159,-48,-48
503,66143259,-48,-48
504,66143359,-48,-48
505,66143459,-48,-48
506,66143559,-48,-48
507,66143659,-48,-48
508,66143759,-48,-48
509,66143859,-48,-48
510,66143959,-48,-48
511,66144059,-48,-48
512,66144159,-48,-48
513,66144259,-49,-48
514,66144359,-49,-48
515,66144459,-49,-48
516,66144559,-49,-48
517,66144659,-49,-48
518,66144759,-49,-48
519,66144859,-49,-48
520,66144959,-49,-48
521,66145059,-49,-48
522,66145159,-49,-48
523,66145259,-49,-48
524,66145359,-49,-48
525,66145459,-49,-48
526,66145559,-49,-48
527,66145659,-49,-48
528,66145759,-49,-48
529,66145859,-49,-48
530,66145959,-49,-48
531,66146059,-49,-48
532,66146159,-49,-49
533,66146259,-49,-49
534,66146359,-49,-49
535,66146459,-49,-49
536,66146559,-49,-49
537,66146659,-49,-49
538,66146759,-49,-49
539,66146859,-49,-49
540,66146959,-49,-49
541,66147059,-49,-49
542,66147159,-49,-49
543,66147259,-49,-49
544,66147359,-49,-49
545,66147459,-49,-49
546,66147559,-49,-49
547,66147659,-49,-49
548,66147759,-49,-49
549,66147859,-49,-49
550,66147959,-49,-49
551,66148059,-49,-49
552,66148159,-49,-49
553,66148259,-49,-49
554,66148359,-49,-49
555,66148459,-49,-49
556,66148559,-49,-49
557,66148659,-49,-49
558,66148759,-49,-49
559,66148859,-49,-49
560,66148959,-49,-49
561,66149059,-49,-49
562,66149159,-49,-49
563,66149259,-49,-49
564,66149359,-49,-49
565,66149459,-49,-49
566,66149559,-49,-49
567,66149659,-50,-49
568,66149759,-50,-49
569,66149859,-50,-49
570,66149959,-50,-49
571,66150059,-50,-49
572,66150159,-50,-49
573,66150259,-50,-49
574,66150359,-50,-49
575,66150459,-50,-49
576,66150559,-50,-49
577,66150659,-50,-49
578,66150759,-50,-49
579,66150859,-50,-49
580,66150959,-50,-49
581,66151059,-50,-49
582,66151159,-50,-49
583,66151259,-50,-49
584,66151359,-50,-49
585,66151459,-50,-49
586,66151559,-50,-50
587,66151659,-50,-50
588,66151759,-50,-50
589,66151859,-50,-50
590,66151959,-50,-50
591,66152059,-50,-50
592,66152159,-50,-50
593,66152259,-50,-50
594,66152359,-50,-50
595,66152459,-50,-50
596,66152559,-50,-50
597,66152659,-50,-50
598,66152759,-50,-50
599,66152859,-50,-50
600,66152959,-50,-50
601,66153059,-50,-50
602,66153159,-50,-50
603,66153259,-50,-50
604,66153359,-50,-50
605,66153459,-50,-50
606,66153559,-50,-50
607,66153659,-50,-50
608,66153759,-50,-50
609,66153859,-50,-50
610,66153959,-50,-50
611,66154059,-50,-50
612,66154159,-50,-50
613,66154259,-50,-50
614,66154359,-50,-50
615,66154459,-50,-50
616,66154559,-50,-50
617,66154659,-50,-50
618,66154759,-50,-50
619,66154859,-50,-50
620,66154959,-50,-50
621,66155059,-50,-50
622,66155159,-50,-50
623,66155259,-50,-50
624,66155359,-50,-50
625,66155459,-50,-50
626,66155559,-50,-50
627,66155659,-50,-50
628,66155759,-50,-50
629,66155859,-50,-50
630,66155959,-50,-50
631,66156059,-50,-50
632,66156159,-50,-50
633,66156259,-50,-50
634,66156359,-50,-50
635,66156459,-50,-50
636,66156559,-50,-50
637,66156659,-50,-50
638,66156759,-50,-50
639,66156859,-50,-50
640,66156959,-50,-50
641,66157059,-50,-50
642,66157159,-50,-50
643,66157259,-50,-50
644,66157359,-50,-50
645,66157459,-50,-50
646,66157559,-50,-50
647,66157659,-50,-50
648,66157759,-50,-50
649,66157859,-50,-50
650,66157959,-50,-50
651,66158059,-50,-50
652,66158159,-50,-50
653,66158259,-50,-50
654,66158359,-50,-50
655,66158459,-50,-50
656,66158559,-50,-50
657,66158659,-50,-50
658,66158759,-50,-50
659,66158859,-50,-50
660,66158959,-50,-50
661,66159059,-50,-50
662,66159159,-50,-50
663,66159259,-50,-50
664,66159359,-50,-50
665,66159459,-50,-50
666,66159559,-50,-50
