Index,Timestamp_US,RSSI,Smoothed_RSSI
720,36641884,-47,-47
721,36641984,-47,-47
722,36642084,-47,-47
723,36642184,-47,-47
724,36642284,-47,-47
725,36642384,-47,-47
726,36642484,-47,-47
727,36642584,-47,-47
728,36642684,-47,-47
729,36642784,-47,-47
730,36642884,-47,-47
731,36642984,-47,-47
732,36643084,-47,-47
733,36643184,-47,-47
734,36643284,-47,-47
735,36643384,-47,-47
736,36643484,-47,-47
737,36643584,-47,-47
738,36643684,-47,-47
739,36643784,-47,-47
740,36643884,-47,-47
741,36643984,-47,-47
742,36644084,-47,-47
743,36644184,-47,-47
744,36644284,-47,-47
745,36644384,-47,-47
746,36644484,-47,-47
747,36644584,-47,-47
748,36644684,-47,-47
749,36644784,-47,-47
750,36644884,-47,-47
751,36644984,-47,-47
752,36645084,-47,-47
753,36645184,-47,-47
754,36645284,-47,-47
755,36645384,-47,-47
756,36645484,-47,-47
757,36645584,-47,-47
758,36645684,-47,-47
759,36645784,-47,-47
760,36645884,-47,-47
761,36645984,-47,-47
762,36646084,-47,-47
763,36646184,-47,-47
764,36646284,-47,-47
765,36646384,-47,-47
766,36646484,-47,-47
767,36646584,-47,-47
768,36646684,-47,-47
769,36646784,-47,-47
770,36646884,-47,-47
771,36646984,-47,-47
772,36647084,-47,-47
773,36647184,-47,-47
774,36647284,-47,-47
775,36647384,-47,-47
776,36647484,-47,-47
777,36647584,-47,-47
778,36647684,-47,-47
779,36647784,-47,-47
780,36647884,-47,-47
781,36647984,-47,-47
782,36648084,-47,-47
783,36648184,-47,-47
784,36648284,-47,-47
785,36648384,-47,-47
786,36648484,-47,-47
787,36648584,-47,-47
788,36648684,-47,-47
789,36648784,-47,-47
790,36648884,-47,-47
791,36648984,-47,-47
792,36649084,-47,-47
793,36649184,-47,-47
794,36649284,-47,-47
795,36649384,-47,-47
796,36649484,-47,-47
797,36649584,-47,-47
798,36649684,-47,-47
799,36649784,-47,-47
800,36649884,-47,-47
801,36649984,-47,-47
802,36650084,-47,-47
803,36650184,-47,-47
804,36650284,-47,-47
805,36650384,-47,-47
806,36650484,-47,-47
807,36650584,-47,-47
808,36650684,-46,-46
809,36650784,-46,-46
810,36650884,-46,-46
811,36650984,-46,-46
812,36651084,-46,-46
813,36651184,-46,-46
814,36651284,-46,-46
815,36651384,-46,-46
816,36651484,-46,-46
817,36651584,-46,-46
818,36651684,-46,-46
819,36651784,-46,-46
820,36651884,-46,-46
821,36651984,-46,-46
822,36652084,-46,-46
823,36652184,-47,-46
824,36652284,-47,-46
825,36652384,-47,-46
826,36652484,-47,-46
827,36652584,-47,-46
828,36652684,-47,-46
829,36652784,-47,-46
830,36652884,-47,-46
831,36652984,-47,-46
832,36653084,-47,-46
833,36653184,-47,-46
